county,line,fill
Carlow,#009900,#FFFF00
Dublin,#000080,#88B8FD
Kildare,#000000,#FFFFFF
Kilkenny,#000000,#FFC125
Laois,#0000FF,#FFFFFF
Longford,#0000FF,#FFFF00
Louth,#FF0000,#FFFFFF
Meath,#FFFF00,#009900
Offaly,#009900,#FFFFFF
Westmeath,#990000,#FFFFFF
Wexford,#FFFF00,#660099
Wicklow,#FFFF00,#0000FF
Clare,#0000FF,#FFFF00
Cork,#FFFFFF,#FF0000
Kerry,#FFFF00,#009900
Limerick,#009900,#FFFFFF
Tipperary,#FFFF00,#0000FF
Waterford,#0000FF,#FFFFFF
Galway,#FFFFFF,#990000
Leitrim,#009900,#FFFF00
Mayo,#FF0000,#009900
Roscommon,#FFFF00,#0000FF
Sligo,#FFFFFF,#000000
Cavan,#FFFFFF,#0000FF
Donegal,#009900,#FFFF00
Monaghan,#0000FF,#FFFFFF
